phase,time,confidence
P,2022-12-20T10:57:52.598400Z,0.889
P,2022-12-20T10:57:58.088400Z,0.826
P,2022-12-20T10:58:03.818400Z,0.911
P,2022-12-20T10:58:13.168400Z,0.108
P,2022-12-20T10:59:12.088400Z,0.117
P,2022-12-20T10:59:15.458400Z,0.842
P,2022-12-20T10:59:39.828400Z,0.106
P,2022-12-20T10:59:48.008400Z,0.876
P,2022-12-20T10:59:49.948400Z,0.914
P,2022-12-20T11:00:02.838400Z,0.294
P,2022-12-20T11:00:06.388400Z,0.644
P,2022-12-20T17:12:25.118400Z,0.361
P,2022-12-20T17:13:15.678400Z,0.965
P,2022-12-20T17:13:20.668400Z,0.133
P,2022-12-20T17:13:27.118400Z,0.209
P,2022-12-20T17:14:09.178400Z,0.989
P,2022-12-20T17:14:36.608400Z,0.382
P,2022-12-20T17:14:40.108400Z,0.935
P,2022-12-20T17:14:56.788400Z,0.781
P,2022-12-20T17:14:58.598400Z,0.114
P,2022-12-20T17:15:04.128400Z,0.697
P,2022-12-20T17:15:25.908400Z,0.208
P,2022-12-20T17:15:38.608400Z,0.212
P,2022-12-20T17:15:40.208400Z,0.208
P,2022-12-20T17:15:45.388400Z,0.930
P,2022-12-20T17:15:53.328400Z,0.115
P,2022-12-20T17:15:59.728400Z,0.218
P,2022-12-20T17:16:16.878400Z,0.992
P,2022-12-20T17:16:47.728400Z,0.965
P,2022-12-20T17:17:08.568400Z,0.669
P,2022-12-20T17:17:47.788400Z,0.958
P,2022-12-20T17:17:52.208400Z,0.717
P,2022-12-20T17:17:57.718400Z,0.103
P,2022-12-20T17:18:06.758400Z,0.962
P,2022-12-20T17:18:23.128400Z,0.986
P,2022-12-20T17:18:38.368400Z,0.773
P,2022-12-20T17:19:02.318400Z,0.974
P,2022-12-20T17:19:27.918400Z,0.894
P,2022-12-20T17:19:33.728400Z,0.409
P,2022-12-20T17:19:44.508400Z,0.988
P,2022-12-20T17:19:50.798400Z,0.123
P,2022-12-20T17:20:24.498400Z,0.126
P,2022-12-20T17:20:26.278400Z,0.976
P,2022-12-20T17:21:04.618400Z,0.991
P,2022-12-20T17:21:26.118400Z,0.166
P,2022-12-20T17:21:31.378400Z,0.934
P,2022-12-20T17:21:40.148400Z,0.974
P,2022-12-20T17:22:15.828400Z,0.977
P,2022-12-20T17:22:22.618400Z,0.849
P,2022-12-20T17:22:31.408400Z,0.980
P,2022-12-20T17:22:43.158400Z,0.719
P,2022-12-20T17:23:12.958400Z,0.923
P,2022-12-20T17:23:26.298400Z,0.118
P,2022-12-20T17:24:02.338400Z,0.116
P,2022-12-20T17:24:17.738400Z,0.974
P,2022-12-20T17:24:34.038400Z,0.931
P,2022-12-20T17:24:38.728400Z,0.117
P,2022-12-20T17:24:50.088400Z,0.812
P,2022-12-20T17:25:01.228400Z,0.921
P,2022-12-20T17:25:28.728400Z,0.289
P,2022-12-20T17:25:42.038400Z,0.471
P,2022-12-20T17:25:46.088400Z,0.904
P,2022-12-20T17:25:48.368400Z,0.927
P,2022-12-20T17:26:19.538400Z,0.328
P,2022-12-20T17:26:20.928400Z,0.108
P,2022-12-20T17:26:54.678400Z,0.111
P,2022-12-20T17:26:58.048400Z,0.640
P,2022-12-20T17:27:07.088400Z,0.677
P,2022-12-20T17:27:23.728400Z,0.338
P,2022-12-20T17:27:28.348400Z,0.975
P,2022-12-20T17:27:50.018400Z,0.253
P,2022-12-20T17:27:53.938400Z,0.980
P,2022-12-20T17:28:10.138400Z,0.116
P,2022-12-20T17:28:26.458400Z,0.945
P,2022-12-20T17:28:55.208400Z,0.154
P,2022-12-20T17:29:07.558400Z,0.959
P,2022-12-20T17:29:25.898400Z,0.117
P,2022-12-20T17:29:37.768400Z,0.287
P,2022-12-20T17:29:52.888400Z,0.871
P,2022-12-20T17:29:54.918400Z,0.792
P,2022-12-20T17:30:00.578400Z,0.254
P,2022-12-20T17:30:36.648400Z,0.415
P,2022-12-20T17:30:39.118400Z,0.772
P,2022-12-20T17:30:48.828400Z,0.247
P,2022-12-20T17:31:00.178400Z,0.983
P,2022-12-20T17:32:03.018400Z,0.495
P,2022-12-20T17:32:05.658400Z,0.970
P,2022-12-20T17:32:11.008400Z,0.247
P,2022-12-20T17:32:36.488400Z,0.151
P,2022-12-20T17:32:50.858400Z,0.112
P,2022-12-20T17:33:16.868400Z,0.228
P,2022-12-20T17:33:28.578400Z,0.110
P,2022-12-20T17:33:54.158400Z,0.986
P,2022-12-20T17:34:11.158400Z,0.419
P,2022-12-20T17:34:17.538400Z,0.956
P,2022-12-20T17:35:01.818400Z,0.741
P,2022-12-20T17:35:31.408400Z,0.911
P,2022-12-20T17:35:33.568400Z,0.104
P,2022-12-20T17:35:36.478400Z,0.617
P,2022-12-20T17:35:41.428400Z,0.968
P,2022-12-20T17:36:09.668400Z,0.205
P,2022-12-20T17:36:15.678400Z,0.788
P,2022-12-20T17:36:29.138400Z,0.383
P,2022-12-20T17:36:38.048400Z,0.963
P,2022-12-20T17:36:43.668400Z,0.577
P,2022-12-20T17:37:00.968400Z,0.623
P,2022-12-20T17:37:02.318400Z,0.138
