start,target,sample_min,max_range,num_gaps,sample_unique,percent_availability
1983-04-28,UW.MBW..EHZ.M,-672.0,,5.0,302.0,0.343
1983-02-14,UW.MBW..EHZ.M,-361.0,,3.0,99.0,0.154
1983-04-30,UW.MBW..EHZ.M,-402.0,,3.0,114.0,0.148
1983-04-25,UW.MBW..EHZ.M,-492.0,,5.0,251.0,0.58
1983-04-20,UW.MBW..EHZ.M,-366.0,,4.0,122.0,0.338
1983-04-21,UW.MBW..EHZ.M,-408.0,,3.0,154.0,0.231
1983-04-27,UW.MBW..EHZ.M,-487.0,,6.0,238.0,0.48
1983-04-14,UW.MBW..EHZ.M,-446.0,,4.0,163.0,0.261
1983-04-10,UW.MBW..EHZ.M,-314.0,314.0,2.0,37.0,0.053
1981-11-07,UW.MBW..EHZ.M,-327.0,354.0,6.0,288.0,0.331
1981-10-15,UW.MBW..EHZ.M,-353.0,418.0,5.0,371.0,0.298
1981-11-08,UW.MBW..EHZ.M,-268.0,271.0,6.0,164.0,0.473
1981-11-30,UW.MBW..EHZ.M,-315.0,315.0,5.0,212.0,0.248
1981-11-06,UW.MBW..EHZ.M,-268.0,268.0,4.0,182.0,0.183
1981-11-28,UW.MBW..EHZ.M,-200.0,200.0,3.0,60.0,0.089
1981-10-29,UW.MBW..EHZ.M,-207.0,207.0,3.0,91.0,0.13
1981-10-16,UW.MBW..EHZ.M,-462.0,711.0,3.0,565.0,0.151
1981-10-31,UW.MBW..EHZ.M,-459.0,615.0,5.0,384.0,0.245
1981-10-13,UW.MBW..EHZ.M,-369.0,534.0,4.0,317.0,0.183
1981-11-09,UW.MBW..EHZ.M,-286.0,303.0,3.0,256.0,0.169
1981-11-11,UW.MBW..EHZ.M,-1347.0,2078.0,4.0,647.0,0.251
1981-10-06,UW.MBW..EHZ.M,-511.0,672.0,5.0,408.0,0.23
1981-11-02,UW.MBW..EHZ.M,-305.0,305.0,2.0,194.0,0.083
1981-11-19,UW.MBW..EHZ.M,-443.0,644.0,4.0,394.0,0.234
1981-10-12,UW.MBW..EHZ.M,-518.0,780.0,4.0,249.0,0.171
1981-10-30,UW.MBW..EHZ.M,-564.0,876.0,3.0,442.0,0.153
1981-10-08,UW.MBW..EHZ.M,-611.0,891.0,4.0,473.0,0.195
1981-10-20,UW.MBW..EHZ.M,-303.0,303.0,7.0,236.0,0.366
1981-10-24,UW.MBW..EHZ.M,-242.0,242.0,2.0,121.0,0.05
1981-11-18,UW.MBW..EHZ.M,-279.0,279.0,3.0,197.0,0.139
1981-11-27,UW.MBW..EHZ.M,-1196.0,2124.0,3.0,847.0,0.118
1981-11-17,UW.MBW..EHZ.M,-471.0,651.0,4.0,360.0,0.222
1981-10-27,UW.MBW..EHZ.M,-275.0,277.0,3.0,185.0,0.127
1981-11-23,UW.MBW..EHZ.M,-371.0,456.0,3.0,354.0,0.13
1981-11-14,UW.MBW..EHZ.M,0.0,711.0,2.0,390.0,0.053
1981-11-10,UW.MBW..EHZ.M,-351.0,351.0,3.0,158.0,0.109
1981-11-22,UW.MBW..EHZ.M,-1550.0,2937.0,3.0,2021.0,0.269
1981-11-13,UW.MBW..EHZ.M,-311.0,311.0,3.0,237.0,0.109
1981-12-09,UW.MBW..EHZ.M,-231.0,231.0,2.0,108.0,0.041
1981-12-13,UW.MBW..EHZ.M,-245.0,245.0,3.0,139.0,0.127
1983-03-17,UW.MBW..EHZ.M,-1008.0,,4.0,716.0,0.539
1983-03-18,UW.MBW..EHZ.M,-889.0,,4.0,925.0,0.456
1983-10-12,UW.MBW..EHZ.M,-669.0,,4.0,288.0,0.287
1983-10-14,UW.MBW..EHZ.M,-663.0,,4.0,260.0,0.275
1983-10-20,UW.MBW..EHZ.M,-374.0,,3.0,151.0,0.391
1983-11-05,UW.MBW..EHZ.M,-318.0,,3.0,74.0,0.136
1983-12-24,UW.MBW..EHZ.M,-358.0,358.0,2.0,49.0,0.041
1983-12-29,UW.MBW..EHZ.M,-581.0,,4.0,282.0,0.377
1984-01-04,UW.MBW..EHZ.M,-505.0,,3.0,258.0,0.317
1983-12-23,UW.MBW..EHZ.M,-493.0,,3.0,237.0,0.195
1983-09-30,UW.MBW..EHZ.M,-708.0,865.0,5.0,416.0,0.323
1983-12-31,UW.MBW..EHZ.M,-453.0,,3.0,221.0,0.279
1983-11-30,UW.MBW..EHZ.M,-425.0,425.0,2.0,131.0,0.047
1983-10-26,UW.MBW..EHZ.M,-375.0,375.0,2.0,139.0,0.136
1983-12-11,UW.MBW..EHZ.M,-310.0,310.0,2.0,35.0,0.041
1983-10-05,UW.MBW..EHZ.M,-1004.0,,5.0,644.0,0.357
1983-09-22,UW.MBW..EHZ.M,-671.0,,5.0,318.0,0.335
1983-10-30,UW.MBW..EHZ.M,-768.0,,6.0,722.0,1.083
